instance,algorithm,seed,best_cost,optimal,gap_pct
berlin52,GA,0,8262,7542,9.5465
berlin52,GA,1,8180,7542,8.4593
berlin52,GA,2,8108,7542,7.5046
berlin52,GA,3,8462,7542,12.1984
berlin52,GA,4,8523,7542,13.0072
berlin52,GA,5,8225,7542,9.056
berlin52,GA,6,7868,7542,4.3225
berlin52,GA,7,8159,7542,8.1809
berlin52,GA,8,7922,7542,5.0385
berlin52,GA,9,8055,7542,6.8019
berlin52,GA,10,7919,7542,4.9987
berlin52,GA,11,8333,7542,10.4879
berlin52,GA,12,8155,7542,8.1278
berlin52,GA,13,8430,7542,11.7741
berlin52,GA,14,7971,7542,5.6881
berlin52,GA,15,8197,7542,8.6847
berlin52,GA,16,7663,7542,1.6043
berlin52,GA,17,7777,7542,3.1159
berlin52,GA,18,7824,7542,3.7391
berlin52,GA,19,8435,7542,11.8404
berlin52,GA,20,7728,7542,2.4662
berlin52,GA,21,8167,7542,8.2869
berlin52,GA,22,8439,7542,11.8934
berlin52,GA,23,7793,7542,3.328
berlin52,GA,24,7998,7542,6.0461
berlin52,GA,25,8663,7542,14.8634
berlin52,GA,26,8217,7542,8.9499
berlin52,GA,27,7869,7542,4.3357
berlin52,GA,28,8681,7542,15.1021
berlin52,GA,29,8073,7542,7.0406
berlin52,SA,0,7542,7542,0.0
berlin52,SA,1,7796,7542,3.3678
berlin52,SA,2,7778,7542,3.1291
berlin52,SA,3,7667,7542,1.6574
berlin52,SA,4,8023,7542,6.3776
berlin52,SA,5,7542,7542,0.0
berlin52,SA,6,7706,7542,2.1745
berlin52,SA,7,7542,7542,0.0
berlin52,SA,8,7542,7542,0.0
berlin52,SA,9,7761,7542,2.9037
berlin52,SA,10,7542,7542,0.0
berlin52,SA,11,7542,7542,0.0
berlin52,SA,12,7542,7542,0.0
berlin52,SA,13,7542,7542,0.0
berlin52,SA,14,7775,7542,3.0894
berlin52,SA,15,7706,7542,2.1745
berlin52,SA,16,7728,7542,2.4662
berlin52,SA,17,7542,7542,0.0
berlin52,SA,18,7831,7542,3.8319
berlin52,SA,19,7902,7542,4.7733
berlin52,SA,20,7803,7542,3.4606
berlin52,SA,21,7542,7542,0.0
berlin52,SA,22,7542,7542,0.0
berlin52,SA,23,7542,7542,0.0
berlin52,SA,24,7542,7542,0.0
berlin52,SA,25,7542,7542,0.0
berlin52,SA,26,7542,7542,0.0
berlin52,SA,27,7542,7542,0.0
berlin52,SA,28,7542,7542,0.0
berlin52,SA,29,7542,7542,0.0
pr76,GA,0,109572,108159,1.3064
pr76,GA,1,120473,108159,11.3851
pr76,GA,2,111029,108159,2.6535
pr76,GA,3,113852,108159,5.2635
pr76,GA,4,111845,108159,3.4079
pr76,GA,5,115611,108159,6.8899
pr76,GA,6,111432,108159,3.0261
pr76,GA,7,120292,108159,11.2177
pr76,GA,8,114998,108159,6.3231
pr76,GA,9,113084,108159,4.5535
pr76,GA,10,115137,108159,6.4516
pr76,GA,11,118509,108159,9.5692
pr76,GA,12,115876,108159,7.1349
pr76,GA,13,117507,108159,8.6428
pr76,GA,14,116830,108159,8.0169
pr76,GA,15,116762,108159,7.954
pr76,GA,16,114799,108159,6.1391
pr76,GA,17,114073,108159,5.4679
pr76,GA,18,117207,108159,8.3655
pr76,GA,19,115676,108159,6.95
pr76,GA,20,114579,108159,5.9357
pr76,GA,21,111040,108159,2.6637
pr76,GA,22,112428,108159,3.947
pr76,GA,23,112864,108159,4.3501
pr76,GA,24,116156,108159,7.3937
pr76,GA,25,121964,108159,12.7636
pr76,GA,26,111523,108159,3.1102
pr76,GA,27,109690,108159,1.4155
pr76,GA,28,110921,108159,2.5536
pr76,GA,29,113976,108159,5.3782
pr76,SA,0,108715,108159,0.5141
pr76,SA,1,111214,108159,2.8245
pr76,SA,2,109575,108159,1.3092
pr76,SA,3,110084,108159,1.7798
pr76,SA,4,109025,108159,0.8007
pr76,SA,5,108644,108159,0.4484
pr76,SA,6,109553,108159,1.2888
pr76,SA,7,109116,108159,0.8848
pr76,SA,8,110036,108159,1.7354
pr76,SA,9,109572,108159,1.3064
pr76,SA,10,109715,108159,1.4386
pr76,SA,11,109900,108159,1.6097
pr76,SA,12,110092,108159,1.7872
pr76,SA,13,112340,108159,3.8656
pr76,SA,14,109334,108159,1.0864
pr76,SA,15,110015,108159,1.716
pr76,SA,16,110164,108159,1.8538
pr76,SA,17,108503,108159,0.3181
pr76,SA,18,108832,108159,0.6222
pr76,SA,19,108587,108159,0.3957
pr76,SA,20,109503,108159,1.2426
pr76,SA,21,109756,108159,1.4765
pr76,SA,22,111004,108159,2.6304
pr76,SA,23,109746,108159,1.4673
pr76,SA,24,109345,108159,1.0965
pr76,SA,25,108722,108159,0.5205
pr76,SA,26,111113,108159,2.7312
pr76,SA,27,111048,108159,2.6711
pr76,SA,28,109044,108159,0.8182
pr76,SA,29,109470,108159,1.2121
kroA100,GA,0,24242,21282,13.9085
kroA100,GA,1,22876,21282,7.4899
kroA100,GA,2,23035,21282,8.237
kroA100,GA,3,23389,21282,9.9004
kroA100,GA,4,22387,21282,5.1922
kroA100,GA,5,23617,21282,10.9717
kroA100,GA,6,21632,21282,1.6446
kroA100,GA,7,23804,21282,11.8504
kroA100,GA,8,23096,21282,8.5236
kroA100,GA,9,23028,21282,8.2041
kroA100,GA,10,23647,21282,11.1127
kroA100,GA,11,23109,21282,8.5847
kroA100,GA,12,23705,21282,11.3852
kroA100,GA,13,22937,21282,7.7765
kroA100,GA,14,22456,21282,5.5164
kroA100,GA,15,23191,21282,8.97
kroA100,GA,16,22705,21282,6.6864
kroA100,GA,17,23402,21282,9.9615
kroA100,GA,18,22988,21282,8.0162
kroA100,GA,19,22623,21282,6.3011
kroA100,GA,20,23558,21282,10.6945
kroA100,GA,21,22293,21282,4.7505
kroA100,GA,22,22260,21282,4.5954
kroA100,GA,23,22212,21282,4.3699
kroA100,GA,24,23567,21282,10.7368
kroA100,GA,25,22824,21282,7.2456
kroA100,GA,26,23727,21282,11.4886
kroA100,GA,27,23604,21282,10.9106
kroA100,GA,28,22280,21282,4.6894
kroA100,GA,29,22927,21282,7.7295
kroA100,SA,0,21842,21282,2.6313
kroA100,SA,1,21469,21282,0.8787
kroA100,SA,2,21372,21282,0.4229
kroA100,SA,3,21545,21282,1.2358
kroA100,SA,4,21748,21282,2.1896
kroA100,SA,5,21951,21282,3.1435
kroA100,SA,6,21811,21282,2.4857
kroA100,SA,7,21894,21282,2.8757
kroA100,SA,8,21545,21282,1.2358
kroA100,SA,9,21687,21282,1.903
kroA100,SA,10,21434,21282,0.7142
kroA100,SA,11,21461,21282,0.8411
kroA100,SA,12,21722,21282,2.0675
kroA100,SA,13,21459,21282,0.8317
kroA100,SA,14,21867,21282,2.7488
kroA100,SA,15,21428,21282,0.686
kroA100,SA,16,21837,21282,2.6078
kroA100,SA,17,21715,21282,2.0346
kroA100,SA,18,21539,21282,1.2076
kroA100,SA,19,21477,21282,0.9163
kroA100,SA,20,22324,21282,4.8962
kroA100,SA,21,21797,21282,2.4199
kroA100,SA,22,21630,21282,1.6352
kroA100,SA,23,21759,21282,2.2413
kroA100,SA,24,21909,21282,2.9462
kroA100,SA,25,21813,21282,2.4951
kroA100,SA,26,21938,21282,3.0824
kroA100,SA,27,22311,21282,4.8351
kroA100,SA,28,22464,21282,5.554
kroA100,SA,29,21577,21282,1.3861
d198,GA,0,16428,15780,4.1065
d198,GA,1,16569,15780,5.0
d198,GA,2,16847,15780,6.7617
d198,GA,3,16479,15780,4.4297
d198,GA,4,16693,15780,5.7858
d198,GA,5,16489,15780,4.493
d198,GA,6,16463,15780,4.3283
d198,GA,7,16314,15780,3.384
d198,GA,8,16622,15780,5.3359
d198,GA,9,16710,15780,5.8935
d198,GA,10,16332,15780,3.4981
d198,GA,11,16519,15780,4.6831
d198,GA,12,16912,15780,7.1736
d198,GA,13,16624,15780,5.3485
d198,GA,14,16459,15780,4.3029
d198,GA,15,16795,15780,6.4322
d198,GA,16,16840,15780,6.7174
d198,GA,17,16803,15780,6.4829
d198,GA,18,16460,15780,4.3093
d198,GA,19,17119,15780,8.4854
d198,GA,20,16732,15780,6.033
d198,GA,21,16868,15780,6.8948
d198,GA,22,16419,15780,4.0494
d198,GA,23,16618,15780,5.3105
d198,GA,24,16987,15780,7.6489
d198,GA,25,16492,15780,4.512
d198,GA,26,16551,15780,4.8859
d198,GA,27,16961,15780,7.4842
d198,GA,28,16786,15780,6.3752
d198,GA,29,16729,15780,6.0139
d198,SA,0,16145,15780,2.3131
d198,SA,1,16288,15780,3.2193
d198,SA,2,16039,15780,1.6413
d198,SA,3,16200,15780,2.6616
d198,SA,4,16109,15780,2.0849
d198,SA,5,15914,15780,0.8492
d198,SA,6,15992,15780,1.3435
d198,SA,7,16075,15780,1.8695
d198,SA,8,16015,15780,1.4892
d198,SA,9,16023,15780,1.5399
d198,SA,10,16115,15780,2.1229
d198,SA,11,15920,15780,0.8872
d198,SA,12,15928,15780,0.9379
d198,SA,13,16192,15780,2.6109
d198,SA,14,16040,15780,1.6477
d198,SA,15,16001,15780,1.4005
d198,SA,16,16200,15780,2.6616
d198,SA,17,16066,15780,1.8124
d198,SA,18,15996,15780,1.3688
d198,SA,19,15914,15780,0.8492
d198,SA,20,15956,15780,1.1153
d198,SA,21,16089,15780,1.9582
d198,SA,22,16070,15780,1.8378
d198,SA,23,16062,15780,1.7871
d198,SA,24,16144,15780,2.3067
d198,SA,25,16020,15780,1.5209
d198,SA,26,16046,15780,1.6857
d198,SA,27,16031,15780,1.5906
d198,SA,28,16022,15780,1.5336
d198,SA,29,16179,15780,2.5285
