instance,algorithm,seed,threshold_pct,fe_to_threshold
berlin52,GA,0,15,19000
berlin52,GA,0,10,28000
berlin52,GA,0,5,50000
berlin52,SA,0,15,17000
berlin52,SA,0,10,50000
berlin52,SA,0,5,50000
pr76,GA,0,15,31000
pr76,GA,0,10,44000
pr76,GA,0,5,58000
pr76,SA,0,15,20000
pr76,SA,0,10,21000
pr76,SA,0,5,24000
kroA100,GA,0,15,86000
kroA100,GA,0,10,100000
kroA100,GA,0,5,100000
kroA100,SA,0,15,34000
kroA100,SA,0,10,41000
kroA100,SA,0,5,51000
d198,GA,0,15,153000
d198,GA,0,10,200000
d198,GA,0,5,200000
d198,SA,0,15,91000
d198,SA,0,10,110000
d198,SA,0,5,200000
